Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime
[-0.47921848, 0.        ]; False; -109.0; 109; None; None; 0; 0.038045644760131836; None; 1763881106.0474298
[-0.49170774, 0.        ]; False; -159.0; 159; 4003.439998091011; None; 0; 0.059378862380981445; None; 1763881106.0474298
[-0.5320071, 0.       ]; True; -200.0; 200; None; None; 0; 0.0666046142578125; None; 1763881106.190121
[-0.5400576, 0.       ]; True; -200.0; 200; 0.0; None; 0; 0.07608652114868164; None; 1763881106.190121
[-0.5825236, 0.       ]; False; -110.0; 110; None; None; 0; 0.03827643394470215; None; 1763881106.2970824
[-0.5154626, 0.       ]; True; -200.0; 200; 1342.0615644695524; None; 0; 0.06658029556274414; None; 1763881106.2970824
[-0.56920195, 0.        ]; False; -143.0; 143; None; None; 0; 0.04403495788574219; None; 1763881106.3793051
[-0.5943361, 0.       ]; False; -107.0; 107; 1432.3144177707793; None; 0; 0.03818774223327637; None; 1763881106.3793051
[-0.58335805, 0.        ]; False; -109.0; 109; None; None; 0; 0.03405904769897461; None; 1763881106.4566948
[-0.57514334, 0.        ]; False; -136.0; 136; 3286.7858946451893; None; 0; 0.037049055099487305; None; 1763881106.4566948
[-0.422223, 0.      ]; False; -85.0; 85; None; None; 0; 0.024161100387573242; None; 1763881106.513186
[-0.46587512, 0.        ]; False; -97.0; 97; 274.90075522863725; None; 0; 0.03233003616333008; None; 1763881106.513186
[-0.5062155, 0.       ]; True; -200.0; 200; None; None; 0; 0.06428265571594238; None; 1763881106.6123922
[-0.4705621, 0.       ]; False; -99.0; 99; 2832.828426939055; None; 0; 0.03333449363708496; None; 1763881106.6123922
[-0.58943003, 0.        ]; False; -108.0; 108; None; None; 0; 0.03437328338623047; None; 1763881106.682919
[-0.476923, 0.      ]; False; -105.0; 105; 26.664996781550737; None; 0; 0.036153554916381836; None; 1763881106.683964
[-0.5523465, 0.       ]; False; -194.0; 194; None; None; 0; 0.06229734420776367; None; 1763881106.8056548
[-0.52326447, 0.        ]; True; -200.0; 200; 206.31275875355593; None; 0; 0.05837726593017578; None; 1763881106.8056548
[-0.4043431, 0.       ]; False; -83.0; 83; None; None; 0; 0.027022838592529297; None; 1763881106.8614836
[-0.40055802, 0.        ]; False; -83.0; 83; 0.0; None; 0; 0.028805971145629883; None; 1763881106.8614836
[-0.40005326, 0.        ]; False; -83.0; 83; None; None; 0; 0.030430078506469727; None; 1763881106.9218204
[-0.40383294, 0.        ]; False; -83.0; 83; 0.0; None; 0; 0.028891563415527344; None; 1763881106.9225063
[-0.46964386, 0.        ]; False; -99.0; 99; None; None; 0; 0.030665159225463867; None; 1763881106.987097
[-0.4628916, 0.       ]; False; -95.0; 95; 592.394901309982; None; 0; 0.03292083740234375; None; 1763881106.989102
[-0.54104525, 0.        ]; True; -200.0; 200; None; None; 0; 0.06362175941467285; None; 1763881107.0837564
[-0.46990815, 0.        ]; False; -99.0; 99; 1419.7936006602527; None; 0; 0.031032800674438477; None; 1763881107.0837564
[-0.49073812, 0.        ]; False; -159.0; 159; None; None; 0; 0.049697160720825195; None; 1763881107.1703813
[-0.46231064, 0.        ]; False; -95.0; 95; 2251.3425840892032; None; 0; 0.03592705726623535; None; 1763881107.1703813
[-0.5743658, 0.       ]; False; -136.0; 136; None; None; 0; 0.04180431365966797; None; 1763881107.283177
