#{"t_start": 1777564348.779322, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,83.118587
-181.0,181,83.365011
-200.0,200,83.611842
-200.0,200,83.908776
-200.0,200,84.17186
-199.0,199,84.864829
-200.0,200,85.179794
-200.0,200,85.463541
-193.0,193,85.759498
-200.0,200,86.020654
-200.0,200,86.335386
-171.0,171,86.576259
-195.0,195,86.896869
-200.0,200,87.192566
-200.0,200,87.481926
-150.0,150,87.676274
-200.0,200,87.942454
-155.0,155,88.14241
-200.0,200,88.406945
-174.0,174,88.613532
-200.0,200,88.881583
-161.0,161,89.087575
-200.0,200,89.345101
-188.0,188,89.615754
-200.0,200,89.889149
-114.0,114,90.048673
-183.0,183,90.297381
-117.0,117,90.456944
-200.0,200,90.711831
-113.0,113,90.863359
-200.0,200,91.177624
-159.0,159,91.425995
-200.0,200,91.70071
-154.0,154,91.917315
-197.0,197,92.157161
-200.0,200,92.429684
-170.0,170,92.641812
-200.0,200,92.917451
-152.0,152,93.104366
-200.0,200,93.407236
-125.0,125,93.580913
-104.0,104,93.748327
-92.0,92,93.8736
-200.0,200,94.121988
-176.0,176,94.356574
-200.0,200,94.637114
-172.0,172,94.871157
-200.0,200,95.127691
-123.0,123,95.327632
-98.0,98,95.468117
-179.0,179,95.729656
-200.0,200,96.051588
-200.0,200,96.315059
-200.0,200,96.60817
-200.0,200,96.856522
-200.0,200,97.13787
-200.0,200,97.455272
-200.0,200,97.749898
-165.0,165,97.967019
-155.0,155,98.171944
-200.0,200,98.463753
-165.0,165,98.71252
-131.0,131,99.324621
-200.0,200,99.580545
-166.0,166,99.797674
-145.0,145,100.006979
-183.0,183,100.271728
-147.0,147,100.4964
-200.0,200,100.795976
-174.0,174,101.02853
-200.0,200,101.289249
-119.0,119,101.441264
-146.0,146,101.66404
-122.0,122,101.845414
-160.0,160,102.096201
-200.0,200,102.393712
-105.0,105,102.529524
-147.0,147,102.724636
-139.0,139,102.906806
-188.0,188,103.164175
-147.0,147,103.349243
-162.0,162,103.554864
-133.0,133,103.745631
-161.0,161,104.005143
-110.0,110,104.141433
-91.0,91,104.289492
-158.0,158,104.543334
-126.0,126,104.738806
-153.0,153,104.937106
-136.0,136,105.117983
-170.0,170,105.372344
-175.0,175,105.620746
-166.0,166,105.859665
-100.0,100,106.004717
-171.0,171,106.256827
-124.0,124,106.438717
-123.0,123,106.588211
-200.0,200,106.850688
-200.0,200,107.107945
-173.0,173,107.373578
-200.0,200,107.654759
-151.0,151,107.873007
-110.0,110,108.050553
-102.0,102,108.211266
-89.0,89,108.342313
-134.0,134,108.557823
-187.0,187,108.85594
-98.0,98,109.005398
-108.0,108,109.158009
-102.0,102,109.318707
-118.0,118,109.492221
-139.0,139,109.673811
-160.0,160,109.8899
-168.0,168,110.106556
-163.0,163,110.315894
-160.0,160,110.524494
-149.0,149,110.719198
-157.0,157,110.927852
-184.0,184,111.156144
-105.0,105,111.295512
-117.0,117,111.445441
-153.0,153,111.64293
-166.0,166,111.855473
-135.0,135,112.034498
-185.0,185,112.273802
-155.0,155,112.473869
-108.0,108,112.617173
-149.0,149,112.804509
-160.0,160,113.018626
-158.0,158,113.579585
-174.0,174,113.807943
-131.0,131,113.977342
-152.0,152,114.175093
-159.0,159,114.377324
-156.0,156,114.579254
-148.0,148,114.763225
-173.0,173,114.995406
-147.0,147,115.179765
-166.0,166,115.39331
-135.0,135,115.56648
-177.0,177,115.796678
-110.0,110,115.935638
-145.0,145,116.115887
-147.0,147,116.303582
-106.0,106,116.448869
-194.0,194,116.693459
-158.0,158,116.893461
-151.0,151,117.081049
-87.0,87,117.208358
-160.0,160,117.404212
-164.0,164,117.606209
-145.0,145,117.783872
-145.0,145,117.969704
-108.0,108,118.119529
-113.0,113,118.264663
-147.0,147,118.450928
-99.0,99,118.579682
-108.0,108,118.724905
-182.0,182,118.964135
-179.0,179,119.194056
-165.0,165,119.407672
-145.0,145,119.589095
-140.0,140,119.76292
-164.0,164,119.971829
-184.0,184,120.225505
-183.0,183,120.450572
-116.0,116,120.591187
-145.0,145,120.77272
-97.0,97,120.902172
-127.0,127,121.065477
