#{"t_start": 1763792408.3045774, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,58.791941
-121.0,121,58.987121
-200.0,200,59.338128
-200.0,200,59.621436
-200.0,200,59.88742
-200.0,200,60.212616
-200.0,200,60.59583
-200.0,200,60.875982
-200.0,200,61.151978
-200.0,200,61.467343
-200.0,200,61.832579
-200.0,200,62.567912
-167.0,167,62.789134
-200.0,200,63.040511
-200.0,200,63.385493
-200.0,200,63.67431
-200.0,200,63.953617
-200.0,200,64.286997
-200.0,200,64.626732
-200.0,200,64.900699
-200.0,200,65.190968
-200.0,200,65.546066
-200.0,200,65.924577
-200.0,200,66.237405
-200.0,200,66.516354
-200.0,200,66.857637
-200.0,200,67.201925
-200.0,200,67.501354
-200.0,200,67.77586
-200.0,200,68.083426
-200.0,200,68.419672
-200.0,200,68.704391
-200.0,200,68.977886
-200.0,200,69.302312
-200.0,200,69.64954
-200.0,200,69.918383
-200.0,200,70.192337
-200.0,200,70.51378
-200.0,200,70.851112
-200.0,200,71.132391
-194.0,194,71.395382
-122.0,122,71.609406
-200.0,200,71.944635
-182.0,182,72.187973
-200.0,200,72.425325
-180.0,180,72.729387
-200.0,200,73.055211
-200.0,200,73.349003
-200.0,200,73.596997
-200.0,200,73.950876
-200.0,200,74.282323
-200.0,200,74.565894
-180.0,180,74.798184
-200.0,200,75.106258
-200.0,200,75.459998
-132.0,132,75.655973
-170.0,170,75.879131
-200.0,200,76.162896
-165.0,165,76.457724
-200.0,200,76.805373
-200.0,200,77.07042
-163.0,163,77.275454
-196.0,196,77.516035
-200.0,200,78.178545
-200.0,200,78.430905
-200.0,200,78.691916
-152.0,152,78.900648
-200.0,200,79.221563
-149.0,149,79.401207
-200.0,200,79.641703
-189.0,189,79.881876
-140.0,140,80.0714
-200.0,200,80.317332
-196.0,196,80.570549
-170.0,170,80.776376
-200.0,200,81.033531
-200.0,200,81.284688
-200.0,200,81.537217
-200.0,200,81.786318
-200.0,200,82.062912
-200.0,200,82.306406
-200.0,200,82.691069
-200.0,200,82.936196
-200.0,200,83.204956
-200.0,200,83.450202
-200.0,200,83.708791
-200.0,200,83.969556
-200.0,200,84.256065
-200.0,200,84.640762
-200.0,200,84.896818
-200.0,200,85.13342
-200.0,200,85.40805
-200.0,200,85.644933
-200.0,200,85.912776
-200.0,200,86.150493
-110.0,110,86.300227
-200.0,200,86.694581
-200.0,200,86.936081
-200.0,200,87.187112
-162.0,162,87.41108
-200.0,200,87.656297
-137.0,137,87.831889
-200.0,200,88.070976
-200.0,200,88.336575
-200.0,200,88.731281
-200.0,200,89.000806
-200.0,200,89.258523
-156.0,156,89.472444
-200.0,200,89.746044
-200.0,200,89.985193
-172.0,172,90.212813
-200.0,200,90.717226
-200.0,200,90.997011
-200.0,200,91.245404
-200.0,200,91.494491
-200.0,200,92.133495
-200.0,200,92.395549
-200.0,200,92.787374
-200.0,200,93.041761
-155.0,155,93.252707
-132.0,132,93.414116
-200.0,200,93.650642
-170.0,170,93.87574
-142.0,142,94.063398
-161.0,161,94.270414
-200.0,200,94.513339
-200.0,200,94.912987
-187.0,187,95.144033
-200.0,200,95.395834
-200.0,200,95.644849
-200.0,200,95.889027
-147.0,147,96.07462
-200.0,200,96.325835
-200.0,200,96.571842
-200.0,200,96.971839
-191.0,191,97.226303
-200.0,200,97.469782
-200.0,200,97.731307
-200.0,200,97.972267
-200.0,200,98.258111
-170.0,170,98.481821
-200.0,200,98.808466
-200.0,200,99.434896
-200.0,200,99.76359
-200.0,200,100.051666
-185.0,185,100.31086
-200.0,200,100.575969
-174.0,174,100.824439
-200.0,200,101.081494
-200.0,200,101.467118
-200.0,200,101.729333
-200.0,200,101.986789
-92.0,92,102.106161
-200.0,200,102.429476
-200.0,200,102.736448
-96.0,96,102.921081
-200.0,200,103.445054
-200.0,200,103.926928
-182.0,182,104.219475
-200.0,200,104.568914
-149.0,149,104.763708
